"","State","City","Year","Population","Violent.Crime","Murder","Rape.Revised","Rape.Legacy","Robbery","Aggravated.Assault","Property.Crime","Burglary","Larceny.Theft","Motor.Vehicle.Theft","Arson"
"221","FLORIDA","TALLAHASSEE",2014,187573,840,5,89,0,150,596,4264,1054,2919,291,4
"222","FLORIDA","TALLAHASSEE",2015,189709,990,8,119,0,166,697,4443,960,3110,373,3
"223","FLORIDA","TAMPA",2014,357124,962,12,26,0,224,700,4056,823,3040,193,20
"224","FLORIDA","TAMPA",2015,364383,1127,21,32,0,296,778,4075,934,2863,278,35
"225","FLORIDA","WEST PALM BEACH",2014,103028,447,9,20,0,152,266,2376,420,1795,161,7
"226","FLORIDA","WEST PALM BEACH",2015,104919,416,6,25,0,123,262,2451,355,1861,235,6
"227","GEORGIA","ATHENS-CLARKE COUNTY",2014,121511,159,3,0,21,45,90,1734,349,1296,89,14
"228","GEORGIA","ATHENS-CLARKE COUNTY",2015,120858,257,1,0,25,62,169,1920,370,1446,104,16
"229","GEORGIA","ATLANTA",2014,454363,2580,39,0,74,1043,1424,12119,2546,7628,1945,28
"230","GEORGIA","ATLANTA",2015,464710,2529,45,0,83,905,1496,12145,2258,7703,2184,27
"231","GEORGIA","COLUMBUS",2014,206714,516,11,0,25,225,255,5764,1496,3719,549,20
"232","GEORGIA","COLUMBUS",2015,209593,523,5,0,31,243,244,5427,1297,3595,535,20
"233","GEORGIA","SANDY SPRINGS",2014,101184,71,0,0,10,46,15,1381,312,982,87,1
"234","GEORGIA","SANDY SPRINGS",2015,103898,73,2,0,6,41,24,1237,272,886,79,1
"235","GEORGIA","SAVANNAH-CHATHAM METROPOLITAN",2014,236682,395,15,0,31,190,159,3921,775,2808,338,15
"236","GEORGIA","SAVANNAH-CHATHAM METROPOLITAN",2015,240178,487,19,0,31,209,228,4457,907,3023,527,7
"237","HAWAII","HONOLULU",2014,994034,995,12,0,0,431,552,14443,2163,10589,1691,133
"238","HAWAII","HONOLULU",2015,999307,1158,12,147,0,438,561,13836,2072,10144,1620,126
"239","IDAHO","BOISE",2014,216260,332,2,65,0,32,233,2078,349,1646,83,19
"240","IDAHO","BOISE",2015,218844,293,0,55,0,17,221,2122,272,1718,132,22
"241","ILLINOIS","AURORA",2014,200419,284,4,18,0,53,209,1315,196,1074,45,8
"242","ILLINOIS","AURORA",2015,201034,296,4,24,0,47,221,1283,207,1021,55,4
"243","ILLINOIS","CHICAGO",2014,2724121,10888,175,654,0,4400,5659,39749,6649,28326,4774,223
"244","ILLINOIS","CHICAGO",2015,2728695,10969,207,622,0,4051,6089,36468,5650,26005,4813,242
"245","ILLINOIS","ELGIN",2014,110595,112,1,22,0,31,58,899,144,727,28,7
"246","ILLINOIS","ELGIN",2015,111832,102,3,17,0,19,63,742,113,600,29,2
"247","ILLINOIS","JOLIET",2014,147838,219,1,5,0,45,168,1346,271,1016,59,22
"248","ILLINOIS","JOLIET",2015,147991,197,3,18,0,51,125,1597,329,1216,52,18
"249","ILLINOIS","NAPERVILLE",2014,145510,52,1,5,0,8,38,717,72,626,19,1
"250","ILLINOIS","NAPERVILLE",2015,147101,45,0,2,0,10,33,749,65,671,13,1
"251","ILLINOIS","PEORIA",2014,116923,370,4,32,0,112,222,2244,558,1596,90,25
"252","ILLINOIS","PEORIA",2015,116066,346,5,27,0,124,190,2016,471,1479,66,16
"253","ILLINOIS","ROCKFORD",2014,149586,927,10,69,0,178,670,2947,759,2019,169,34
"254","ILLINOIS","ROCKFORD",2015,148178,1142,9,78,0,195,860,2621,651,1767,203,32
"255","ILLINOIS","SPRINGFIELD",2014,117134,551,2,42,0,111,396,2523,479,2005,39,25
"256","ILLINOIS","SPRINGFIELD",2015,118765,558,4,47,0,110,397,2210,378,1736,96,23
"257","INDIANA","EVANSVILLE",2014,120372,286,5,0,33,108,140,3229,490,2522,217,24
"258","INDIANA","EVANSVILLE",2015,120414,347,2,0,35,81,229,2722,471,2100,151,23
"259","INDIANA","FORT WAYNE",2014,257172,376,4,44,0,156,172,3883,781,2950,152,22
"260","INDIANA","FORT WAYNE",2015,259712,457,12,42,0,209,194,3499,628,2719,152,30
"261","INDIANA","SOUTH BEND",2014,100853,302,7,49,0,128,118,2039,502,1410,127,12
"262","INDIANA","SOUTH BEND",2015,101240,325,9,32,0,166,118,2312,523,1610,179,14
"263","IOWA","CEDAR RAPIDS",2014,128901,179,8,19,0,54,98,2236,386,1727,123,6
"264","IOWA","CEDAR RAPIDS",2015,130696,170,2,16,0,52,100,2267,412,1722,133,5
"265","IOWA","DES MOINES",2014,208250,584,3,51,0,124,406,3879,821,2658,400,12
"266","IOWA","DES MOINES",2015,211150,806,8,62,0,117,619,3995,889,2655,451,21
"267","KANSAS","KANSAS CITY",2014,149103,494,13,113,0,108,260,3386,793,2134,459,21
"268","KANSAS","KANSAS CITY",2015,151180,558,12,144,0,136,266,3386,641,2312,433,23
"269","KANSAS","OVERLAND PARK",2014,183108,137,5,44,0,12,76,1508,173,1070,265,6
"270","KANSAS","OVERLAND PARK",2015,187240,192,2,87,0,20,83,1708,206,1230,272,10
"271","KANSAS","TOPEKA",2014,127673,303,4,27,0,86,186,2872,441,2168,263,4
